sentence_id,sentence,position,token,word_class,case,mark,role,root,wazn,closed_class_kind
33,أَيَّ تَائِبًا إِلَى رَبِّهِ,1,تَائِبًا,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,توب,فَائِلًا,
33,أَيَّ تَائِبًا إِلَى رَبِّهِ,2,إِلَى,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
33,أَيَّ تَائِبًا إِلَى رَبِّهِ,3,رَبِّهِ,JAMID,مَجْرُور,كسرة,اسم مجرور,,,
34,أَعْبُدِ اللَّهَ,0,أَعْبُدِ,FIIL,مَرْفُوع,ضمة,فعل مضارع,عبد,أَفْعُل,
34,أَعْبُدِ اللَّهَ,1,اللَّهَ,JALALAH,مَنْصُوب,فتحة,مفعول به منصوب,ءله,,
35,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,0,يَجُوزُ,FIIL,مَرْفُوع,ضمة,فعل مضارع,يجز,فَعُول,
35,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,1,لَكَ,HARF,مَبْنِي,,حرف جر,,,HARF_JARR
35,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,2,أَنْ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
35,يَجُوزُ لَكَ أَنْ تَنْصَرِفَ,3,تَنْصَرِفَ,FIIL,مَنْصُوب,فتحة,فعل مضارع,نصرف,تَفْعَلِل,
36,لَنْ يَنْجَحَ الْكَسْلَانُ,0,لَنْ,HARF,مَبْنِي,,حرف نصب,,,HARF_NASB
36,لَنْ يَنْجَحَ الْكَسْلَانُ,1,يَنْجَحَ,FIIL,مَنْصُوب,فتحة,فعل مضارع,نجح,يَفْعَل,
36,لَنْ يَنْجَحَ الْكَسْلَانُ,2,الْكَسْلَانُ,ISM_MUARAB,مَرْفُوع,ألف,فاعل مرفوع,كسل,فَعْلَان,
37,جِئْتُكَ كَيْ أَتَعَلَّمَ,0,جِئْتُكَ,ISM_MUARAB,مَنْصُوب,فتحة,اسم منصوب,جتك,فِئْعُل,
